year,zrank,county.name,state.name,pct
1960,1,Honolulu,Hawaii,0.27174245773953265
1960,2,Bexar,Texas,0.2110869158775721
1960,3,El Paso,Texas,0.2512073591414335
1960,4,Webb,Texas,0.3854438423974848
1960,5,Orleans,Louisiana,0.1816059978609175
1960,6,Bronx,New York,0.15307657281463305
1960,7,Nueces,Texas,0.23532657424649975
1960,8,Shelby,Tennessee,0.17609157584481458
1960,9,St Louis City,Missouri,0.16425431629070464
1960,10,Jefferson,Alabama,0.16577728387998283
1970,1,Honolulu,Hawaii,0.20115843706998623
1970,2,Bronx,New York,0.13508442022062891
1970,3,Dade,Florida,0.13616153606524878
1970,4,Kings,New York,0.11695625904440797
1970,5,Hidalgo,Texas,0.3020682076841568
1970,6,Bexar,Texas,0.14970766958259993
1970,7,Cameron,Texas,0.27956874466268145
1970,8,El Paso,Texas,0.18079576290580965
1970,9,Webb,Texas,0.31228965997446906
1970,10,Orleans,Louisiana,0.14017464216036016
1980,1,Los Angeles,California,0.11162222310167841
1980,2,Dade,Florida,0.12420940174658053
1980,3,Hidalgo,Texas,0.250120831319478
1980,4,Honolulu,Hawaii,0.1550681512766366
1980,5,Cameron,Texas,0.23970965900984448
1980,6,Bronx,New York,0.1095525642638487
1980,7,Kings,New York,0.08898070261649
1980,8,Webb,Texas,0.265291936978684
1980,9,El Paso,Texas,0.1302927432069656
1980,10,Bexar,Texas,0.094976799707349
1990,1,Los Angeles,California,0.19243217712888086
1990,2,Dade,Florida,0.1817997992359411
1990,3,Kings,New York,0.13785213457152207
1990,4,Bronx,New York,0.16598917267136984
1990,5,Hidalgo,Texas,0.2679770774746567
1990,6,Honolulu,Hawaii,0.16406085094834605
1990,7,Queens,New York,0.11801030064611628
1990,8,Orange,California,0.11183025296651053
1990,9,Cameron,Texas,0.23859821501678538
1990,10,Harris,Texas,0.09697617414618179
2000,1,Los Angeles,California,0.2298726710988093
2000,2,Miami-Dade,Florida,0.2000993854068236
2000,3,Orange,California,0.15744685855785442
2000,4,Bronx,New York,0.19676951374316728
2000,5,Queens,New York,0.16357338525855283
2000,6,Kings,New York,0.1549799199979108
2000,7,Harris,Texas,0.13026703917658497
2000,8,Hidalgo,Texas,0.24051803295413968
2000,9,Dallas,Texas,0.12986413181430398
2000,10,San Bernardino,California,0.14639401885000586
2010,1,Los Angeles County,California,0.12040595558143864
2010,2,Kings County,New York,0.09839257249242525
2010,3,Orange County,California,0.09129174822219943
2010,4,Bronx County,New York,0.10829396525449558
2010,5,Queens County,New York,0.08654662015650043
2010,6,Hidalgo County,Texas,0.13292647994135096
2010,7,San Bernardino County,California,0.08618494443279513
2010,8,Harris County,Texas,0.06229872107031016
2010,9,Fresno County,California,0.09820812018207697
2010,10,Webb County,Texas,0.15724572735420467
2019,1,Los Angeles County,California,0.11333591614796815
2019,2,Kings County,New York,0.1019553145476529
2019,3,Bronx County,New York,0.12458989061765004
2019,4,Orange County,California,0.08836887416963216
2019,5,Queens County,New York,0.0944369983515891
2019,6,Hidalgo County,Texas,0.1243072017453691
2019,7,San Bernardino County,California,0.08848171737356554
2019,8,Santa Clara County,California,0.08156947275524629
2019,9,Monterey County,California,0.1380047972946404
2019,10,San Diego County,California,0.06836484236007558
